page_url,page_title,organization_name,type,emails,contact_page_urls,phone_numbers,department,does_it_link_to_paperkarma,does_it_link_to_dmachoice,does_it_link_to_catalogchoice,page_summary
https://sustainability.ncsu.edu/blog/2019/11/18/making-mail-more-sustainable/,Making Mail More Sustainable | Sustainability,Ncsu,edu,sustainability@ncsu.edu,https://sustainability.ncsu.edu/about/contact-us/,,Mail,no,no,no,NC State Mail Services has implemented several sustainable practices that reduce waste on campus.
https://www.canr.msu.edu/news/greening_your_future_part_one_junk_mail,"Greening your future, part one: junk mail - MSU Extension",Canr,edu,gibb@msu.edu,https://www.canr.msu.edu/outreach/contact,(517) 355-1855; (888-678-3464,Mail,no,yes,no,The average household can receive as much as 69 pounds of junk mail annually.
https://mailservices.berkeley.edu/sustainability,Sustainability | Mail Services,Berkeley,edu,,https://mailservices.berkeley.edu/contact-us; https://mailservices.berkeley.edu/contact-us/hours-operation,,Sustainability,no,no,yes,Mail Services is committed to making the campus a greener environment. Here are some of the sustainable practices Mail Services has spearheaded on campus.
https://mail.business-services.upenn.edu/policies/sustainability,Sustainability | Penn Business Services: Mail Services,Upenn,edu,mailservices@upenn.edu,https://mail.business-services.upenn.edu/contact-us,,Mail,no,yes,no,"On a daily basis, the University of Pennsylvania receives significant amounts of unsolicited mail.  Penn Mail Services estimates that as much as 40% of Penn's incoming mail consists of bulk-rate adver"
https://www.bowdoin.edu/campus-services/mail-center/sustainability.html,Sustainability | Bowdoin College,Bowdoin,edu,,https://www.bowdoin.edu/campus-services/contact/index.html; https://www.bowdoin.edu/contact/index.html,888-567-8688; (207) 725-3000,Sustainability,no,yes,yes,Reuse Shipping and Packing Materials
https://sustainability.d.umn.edu/,Sustainability | University of Minnesota Duluth,D,edu,,,(218) 726-6245,Sustainability,no,no,no,"The UMD Land Lab, now part of the Office of Sustainability, is producing food, climate-smart trees, research experiments, and unique student experiences."
https://services.wayne.edu/TDClient/277/Portal/KB/,Knowledge Base,Services,edu,,,313-577-1470; 313-577-2424; 313-577-2100,,no,no,no,
https://www.minotstateu.edu/sustain/pages/tip-junk-mail.shtml,Guide to Reducing Junk Mail,Minotstateu,edu,,https://www.minotstateu.edu/enroll/contact.shtml,800-777-0750,Mail,no,yes,no,
https://www.macalester.edu/mailing-services/junk-mail/,How to Stop Receiving Junk Mail,Macalester,edu,,https://www.macalester.edu/about/contact/,651-696-6000,Mail,no,no,no,How to Stop Receiving Junk Mail
https://www.colorado.edu/ecenter/programs/zero-waste-programs-and-events/reduce/waste-reduction-tips,Waste Reduction Tips | Environmental Center | University of Colorado Boulder,Colorado,edu,ecenter@colorado.edu,,303-492-8308,Waste,no,no,no,Reducing your printing has a larger impact on both paper and toner cartridges!
https://pubs.nmsu.edu/_g/G107/index.html,Junk Your Junk Mail | New Mexico State University - BE BOLD. Shape the Future.,Nmsu,edu,pubs@nmsu.edu,https://pubs.nmsu.edu/Contact-Us.html,888-567-8688; 575-646-3221; 888-382-1222,Mail,no,yes,yes,"Is your mailbox filled with junk mail&mdash;catalogs, advertisements, and other promotional mail you don't want to receive?"
https://fieldreport.caes.uga.edu/publications/C1050-1/reduce/,Reduce Waste | CAES Field Report,Uga,edu,,https://fieldreport.caes.uga.edu/contact,,Waste,no,yes,no,Reducing your actual rate of consumption is the most efficient way to manage the worldwide waste problem. This publication provides strategies you can implement to reduce the amount of waste you and y
https://fieldreport.caes.uga.edu/publications/C1050-1/reduce/,Reduce Waste | CAES Field Report,Uga,edu,,https://fieldreport.caes.uga.edu/contact,,Waste,no,yes,no,Reducing your actual rate of consumption is the most efficient way to manage the worldwide waste problem. This publication provides strategies you can implement to reduce the amount of waste you and y
https://sustainability.umw.edu/how-you-can-help/waste-reduction-tips/,Waste Reduction - Office of Sustainability,Umw,edu,,https://sustainability.umw.edu/contact-us/,,Waste,no,no,no,"It’s important to remember that while recycling can be beneficial and is better than not recycling, it is NOT the answer. The answer really is simple, be conscious about what you’re purchasing and it’"
https://sustainability.yale.edu/blog/how-stop-junk-mail,March 2026 Blog | Yale Sustainability,Yale,edu,sustainability@yale.edu,,203.436.3571,Sustainability,no,no,no,Accessibility at Yale ·       Privacy policy        Copyright © 2026 Yale University · All rights reserved
https://housing.ufl.edu/resources/sustainability/,Sustainability | Housing & Residence Life,Ufl,edu,ContactHousing@ufsa.ufl.edu,https://housing.ufl.edu/about/contact-us/,352-392-2161,Sustainability,no,no,no,Housing and Residence Life is committed to incorporating sustainability best practices and education into the work that is done every day. Through collaborations with campus partners and ongoing educa
